brand,product,name,hex,L_val,a_val,b_val
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,#EFCBA4,214,135,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,#F3CEB0,217,137,148
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,#F2CBB4,215,138,145
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,#F6C8A7,214,140,151
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,#F0C4AB,210,140,146
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,#F2C79D,212,138,155
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,#DFB38A,194,138,155
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,#EEC29C,208,139,153
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,#EAB498,198,144,150
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,#DDAD8C,190,141,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,teak,#E5AE8F,192,144,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,desert,#E0AE8C,191,142,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buff,#E1B186,193,140,157
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buttercup,#E2AD7F,190,142,159
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,camel,#D59C79,176,145,155
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,noisette,#D49971,174,145,158
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,pebble,#D8A284,181,144,151
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,driftwood,#DBA679,184,142,159
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cassava,#D29B7B,175,145,153
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,khaki,#CE9770,171,144,157
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,olive,#CC9A70,172,141,157
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,hazel,#C38353,154,148,164
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,fawn,#AD6D4B,133,150,157
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bamboo,#AA6D46,132,148,160
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,tan,#AA7555,138,145,154
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,café,#A56949,128,149,156
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sepia,#A36446,124,150,156
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,amber,#A0633F,122,149,159
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,maple,#965837,112,151,158
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,terracotta,#865034,101,148,154
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cardamom,#79442C,89,148,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,coconut,#754127,85,148,153
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,walnut,#6C3923,77,148,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,mocha,#74462C,88,145,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,clove,#7B472E,91,148,152
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,truffle,#713E2A,82,148,150
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sienna,#663727,73,148,147
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,espresso,#643927,74,145,148
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,mahogany,#5B332A,66,145,142
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,tonka,#5B3429,67,144,142
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cacao,#4F322C,61,141,137
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,chestnut,#472D29,55,140,136
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,fair cool,#EACFB7,216,134,143
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light warm,#F7D3B3,222,136,149
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light neutral warm,#E9C7A4,210,135,150
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium neutral,#D0B099,189,136,144
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,shade   medium neutral warm,#DCB590,195,137,152
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium warm,#D5A575,181,140,160
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium-tan neutral,#C88C3F,160,144,177
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,tan warm,#AB6939,130,150,166
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,deep neutral,#8D5D35,112,143,158
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,deep warm,#914D26,103,153,163
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,dark neutral,#6E452B,85,143,151
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,dark warm,#83503F,101,147,147
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,fair cool,#E3CFB7,215,131,142
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,light neutral,#EDD2B5,219,133,146
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,light neutral warm,#DFC7A5,208,131,148
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium neutral,#C7AE98,185,134,143
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,shade   medium neutral warm,#DAB48A,193,136,155
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium warm,#D0A270,178,139,160
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium-tan neutral,#C39E68,172,135,161
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,tan warm,#B48E69,158,137,153
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,deep neutral,#B78145,149,142,168
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,deep warm,#946542,120,143,155
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,dark neutral,#926738,120,140,161
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,dark warm,#7F5739,104,141,152
It Cosmetics,CC+ Cream with SPF 50+,fair,#F9EFE3,242,129,135
It Cosmetics,CC+ Cream with SPF 50+,fair light,#FCEBDB,240,131,138
It Cosmetics,CC+ Cream with SPF 50+,light,#FBE6D1,236,132,141
It Cosmetics,CC+ Cream with SPF 50+,light medium,#F6CEAB,218,137,151
It Cosmetics,CC+ Cream with SPF 50+,medium,#EEC7A0,211,136,153
It Cosmetics,CC+ Cream with SPF 50+,neutral medium,#F1C09B,207,141,153
It Cosmetics,CC+ Cream with SPF 50+,medium tan,#E0AE86,191,141,156
It Cosmetics,CC+ Cream with SPF 50+,neutral tan,#E6A77C,187,146,159
It Cosmetics,CC+ Cream with SPF 50+,tan,#E1965E,175,151,169
It Cosmetics,CC+ Cream with SPF 50+,rich,#C6713E,144,157,170
It Cosmetics,CC+ Cream with SPF 50+,rich honey,#9E502B,110,158,164
It Cosmetics,CC+ Cream with SPF 50+,deep,#85412F,92,155,152
It Cosmetics,Your Skin But Better Foundation + Skincare,medium neutral,#D9A681,184,142,154
It Cosmetics,Your Skin But Better Foundation + Skincare,fair warm,#FAE6D2,236,132,140
It Cosmetics,Your Skin But Better Foundation + Skincare,fair neutral,#E8CCB5,214,134,143
